dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.797789,5.552010,0.000014,0.001371,0.068528,3.426412,0.000194
0.020000,1.797790,5.552010,0.000015,0.000068,-0.065143,-6.683548,0.000190
0.020000,1.797793,5.552010,0.000018,0.000152,0.004230,3.468628,0.000182
0.020000,1.797798,5.552010,0.000024,0.000271,0.005916,0.084306,0.000167
0.020000,1.797807,5.552010,0.000032,0.000422,0.007593,0.083859,0.000143
0.020000,1.797819,5.552010,0.000044,0.000608,0.009256,0.083127,0.000109
0.020000,1.797836,5.552010,0.000061,0.000826,0.010896,0.082039,0.000062
0.020000,1.797857,5.552010,0.000082,0.001076,0.012507,0.080524,0.000002
0.020000,1.798955,5.552010,0.001180,0.054903,2.691347,133.942025,6.283112
0.020000,1.800303,5.552010,0.002528,0.067390,0.624366,-103.349091,6.283021
0.020000,1.801875,5.552010,0.004100,0.078613,0.561136,-3.161486,6.282917
0.020000,1.803672,5.552009,0.005897,0.089833,0.561016,-0.006003,6.282798
0.020000,1.805693,5.552008,0.007918,0.101047,0.560697,-0.015924,6.282665
0.020000,1.807938,5.552007,0.010163,0.112257,0.560525,-0.008600,6.282518
0.020000,1.810407,5.552005,0.012632,0.123462,0.560241,-0.014241,6.282357
0.020000,1.813100,5.552003,0.015325,0.134661,0.559930,-0.015511,6.282183
0.020000,1.816017,5.551999,0.018243,0.145853,0.559598,-0.016629,6.281997
0.020000,1.819158,5.551995,0.021383,0.157038,0.559243,-0.017755,6.281798
0.020000,1.822522,5.551990,0.024748,0.168215,0.558865,-0.018888,6.281587
0.020000,1.826110,5.551984,0.028335,0.179384,0.558464,-0.020029,6.281365
0.020000,1.829921,5.551977,0.032146,0.190545,0.558015,-0.022450,6.281132
0.020000,1.833955,5.551968,0.036180,0.201695,0.557523,-0.024596,6.280888
0.020000,1.838212,5.551958,0.040437,0.212837,0.557107,-0.020826,6.280634
0.020000,1.842691,5.551946,0.044916,0.223967,0.556488,-0.030923,6.280371
0.020000,1.847393,5.551932,0.049618,0.235088,0.556038,-0.022529,6.280099
0.020000,1.852317,5.551916,0.054542,0.246196,0.555416,-0.031081,6.279819
0.020000,1.857462,5.551898,0.059688,0.257292,0.554812,-0.030195,6.279532
