dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.797858,5.196510,0.000014,0.001371,0.068528,3.426412,0.000194
0.020000,1.797858,5.196510,0.000069,0.004112,0.137056,3.426412,0.000190
0.020000,1.797858,5.196510,0.000192,0.008223,0.205585,3.426412,0.000182
0.020000,1.797858,5.196510,0.000411,0.013706,0.274113,3.426412,0.000167
0.020000,1.797858,5.196510,0.000754,0.020558,0.342641,3.426412,0.000143
0.020000,1.797858,5.196510,0.001247,0.028782,0.411169,3.426412,0.000109
0.020000,1.797858,5.196510,0.001919,0.038376,0.479698,3.426412,0.000062
0.020000,1.797858,5.196510,0.002796,0.049340,0.548226,3.426412,0.000002
0.020000,1.798929,5.196510,0.003892,0.060305,0.548226,-0.000000,6.283112
0.020000,1.800245,5.196510,0.005208,0.071269,0.548226,0.000000,6.283021
0.020000,1.801780,5.196510,0.006743,0.082234,0.548226,-0.000000,6.282917
0.020000,1.803534,5.196509,0.008498,0.093198,0.548226,0.000000,6.282798
0.020000,1.805508,5.196508,0.010471,0.104163,0.548226,0.000000,6.282665
0.020000,1.807701,5.196507,0.012664,0.115127,0.548226,-0.000000,6.282518
0.020000,1.810113,5.196505,0.015076,0.126092,0.548226,0.000000,6.282357
0.020000,1.812744,5.196503,0.017708,0.137056,0.548226,-0.000000,6.282183
0.020000,1.815595,5.196500,0.020558,0.148021,0.548226,0.000000,6.281997
0.020000,1.818665,5.196496,0.023629,0.158986,0.548226,-0.000000,6.281798
0.020000,1.821954,5.196491,0.026918,0.169950,0.548226,0.000000,6.281587
0.020000,1.825463,5.196485,0.030427,0.180915,0.548226,0.000000,6.281365
0.020000,1.829191,5.196478,0.034154,0.191879,0.548226,-0.000000,6.281132
0.020000,1.833138,5.196469,0.038102,0.202844,0.548226,0.000000,6.280888
0.020000,1.837305,5.196459,0.042268,0.213808,0.548226,-0.000000,6.280634
0.020000,1.841690,5.196447,0.046654,0.224773,0.548226,-0.000000,6.280371
0.020000,1.846296,5.196433,0.051259,0.235737,0.548226,0.000000,6.280099
0.020000,1.851120,5.196418,0.056084,0.246702,0.548226,-0.000000,6.279819
0.020000,1.856164,5.196400,0.061127,0.257666,0.548226,0.000000,6.279532
0.020000,1.861426,5.196380,0.066390,0.268631,0.548226,0.000000,6.279238
0.020000,1.866909,5.196358,0.071872,0.279595,0.548226,0.000000,6.278938
0.020000,1.872610,5.196333,0.077574,0.290560,0.548226,0.000000,6.278632
0.020000,1.878531,5.196305,0.083495,0.301524,0.548226,0.000000,6.278322
0.020000,1.884671,5.196274,0.089635,0.312489,0.548226,0.000000,6.278009
0.020000,1.891030,5.196240,0.095994,0.323453,0.548226,0.000000,6.277693
0.020000,1.897609,5.196203,0.102573,0.334418,0.548226,0.000000,6.277375
0.020000,1.904407,5.196162,0.109371,0.345382,0.548226,0.000000,6.277056
0.020000,1.911424,5.196118,0.116388,0.356347,0.548226,0.000000,6.276737
0.020000,1.918660,5.196070,0.123625,0.367311,0.548226,0.000000,6.276419
0.020000,1.926116,5.196019,0.131081,0.378276,0.548226,0.000000,6.276103
0.020000,1.933791,5.195963,0.138756,0.389240,0.548226,-0.000000,6.275789
0.020000,1.941685,5.195903,0.146650,0.400205,0.548226,0.000000,6.275480
0.020000,1.949799,5.195840,0.154764,0.411169,0.548226,0.000000,6.275176
0.020000,1.958132,5.195772,0.163097,0.422134,0.548226,0.000000,6.274879
0.020000,1.966684,5.195699,0.171650,0.433099,0.548226,-0.000000,6.274588
0.020000,1.975455,5.195623,0.180421,0.444063,0.548226,-0.000000,6.274306
0.020000,1.984445,5.195542,0.189412,0.455028,0.548226,0.000000,6.274034
0.020000,1.993655,5.195456,0.198622,0.465992,0.548226,0.000000,6.273773
0.020000,2.003084,5.195366,0.208052,0.476957,0.548226,0.000000,6.273525
0.020000,2.012733,5.195272,0.217701,0.487921,0.548226,0.000000,6.273289
0.020000,2.022600,5.195173,0.227569,0.498886,0.548226,0.000000,6.273069
0.020000,2.032687,5.195070,0.237656,0.509850,0.548226,-0.000000,6.272865
0.020000,2.042993,5.194963,0.247963,0.520815,0.548226,0.000000,6.272679
0.020000,2.053518,5.194851,0.258489,0.531779,0.548226,-0.000000,6.272511
0.020000,2.064263,5.194736,0.269234,0.542744,0.548226,0.000000,6.272365
0.020000,2.075227,5.194616,0.280198,0.553708,0.548226,-0.000000,6.272240
0.020000,2.086410,5.194493,0.291382,0.564673,0.548226,0.000000,6.272138
0.020000,2.097812,5.194367,0.302785,0.575637,0.548226,-0.000000,6.272062
0.020000,2.109434,5.194237,0.314408,0.586602,0.548226,0.000000,6.272012
0.020000,2.121275,5.194105,0.326249,0.597566,0.548226,0.000000,6.271991
0.020000,2.133335,5.193970,0.338310,0.608531,0.548226,-0.000000,6.271999
0.020000,2.145615,5.193833,0.350591,0.619495,0.548226,0.000000,6.272039
0.020000,2.158114,5.193694,0.363090,0.630460,0.548226,0.000000,6.272112
0.020000,2.170832,5.193554,0.375809,0.641424,0.548226,-0.000000,6.272219
0.020000,2.183769,5.193413,0.388747,0.652389,0.548226,0.000000,6.272364
0.020000,2.196926,5.193271,0.401904,0.663353,0.548226,0.000000,6.272547
0.020000,2.210302,5.193131,0.415281,0.674318,0.548226,-0.000000,6.272770
0.020000,2.223897,5.192991,0.428877,0.685282,0.548226,0.000000,6.273036
0.020000,2.237712,5.192853,0.442692,0.696247,0.548226,0.000000,6.273345
0.020000,2.251745,5.192717,0.456727,0.707212,0.548226,-0.000000,6.273701
0.020000,2.265999,5.192585,0.470981,0.718176,0.548226,0.000000,6.274104
0.020000,2.280471,5.192456,0.485454,0.729141,0.548226,-0.000000,6.274558
0.020000,2.295163,5.192333,0.500147,0.740105,0.548226,0.000000,6.275063
0.020000,2.310075,5.192216,0.515058,0.751070,0.548226,0.000000,6.275623
0.020000,2.325205,5.192106,0.530189,0.762034,0.548226,-0.000000,6.276238
0.020000,2.340555,5.192005,0.545540,0.772999,0.548226,0.000000,6.276913
0.020000,2.356125,5.191913,0.561109,0.783963,0.548226,0.000000,6.277647
0.020000,2.371913,5.191832,0.576898,0.794928,0.548226,-0.000000,6.278445
0.020000,2.387921,5.191763,0.592906,0.805892,0.548226,0.000000,6.279308
0.020000,2.404149,5.191707,0.609134,0.816857,0.548226,0.000000,6.280238
0.020000,2.420595,5.191667,0.625581,0.827821,0.548226,-0.000000,6.281238
0.020000,2.437261,5.191643,0.642247,0.838786,0.548226,0.000000,6.282310
0.020000,2.454147,5.191638,0.659132,0.849750,0.548226,-0.000000,0.000272
0.020000,2.471251,5.191653,0.676237,0.860715,0.548226,0.000000,0.001496
0.020000,2.488575,5.191690,0.693561,0.871679,0.548226,0.000000,0.002800
0.020000,2.506118,5.191751,0.711104,0.882644,0.548226,-0.000000,0.004186
0.020000,2.523881,5.191839,0.728866,0.893608,0.548226,-0.000000,0.005657
0.020000,2.541862,5.191954,0.746848,0.904573,0.548226,0.000000,0.007216
0.020000,2.560063,5.192101,0.765049,0.915537,0.548226,0.000000,0.008865
0.020000,2.578482,5.192280,0.783470,0.926502,0.548226,-0.000000,0.010608
0.020000,2.597121,5.192495,0.802109,0.937466,0.548226,0.000000,0.012447
0.020000,2.615978,5.192747,0.820968,0.948431,0.548226,-0.000000,0.014384
0.020000,2.635054,5.193041,0.840047,0.959395,0.548226,0.000000,0.016424
0.020000,2.654349,5.193379,0.859344,0.970360,0.548226,0.000000,0.018569
0.020000,2.673862,5.193763,0.878861,0.981325,0.548226,-0.000000,0.020822
0.020000,2.693593,5.194197,0.898597,0.992289,0.548226,0.000000,0.023185
0.020000,2.713542,5.194684,0.918553,1.003254,0.548226,0.000000,0.025664
0.020000,2.733710,5.195228,0.938727,1.014218,0.548226,0.000000,0.028260
0.020000,2.754095,5.195832,0.959121,1.025183,0.548226,-0.000000,0.030976
0.020000,2.774697,5.196499,0.979735,1.036147,0.548226,0.000000,0.033817
0.020000,2.795517,5.197234,1.000567,1.047112,0.548226,0.000000,0.036786
0.020000,2.816553,5.198041,1.021619,1.058076,0.548226,-0.000000,0.039886
0.020000,2.837806,5.198923,1.042890,1.069041,0.548226,0.000000,0.043120
0.020000,2.859275,5.199886,1.064381,1.080005,0.548226,0.000000,0.046493
0.020000,2.880960,5.200933,1.086091,1.090970,0.548226,-0.000000,0.050007
0.020000,2.902859,5.202069,1.108020,1.101934,0.548226,0.000000,0.053667
0.020000,2.924973,5.203299,1.130168,1.112899,0.548226,0.000000,0.057475
0.020000,2.947301,5.204628,1.152535,1.123863,0.548226,0.000000,0.061437
0.020000,2.969843,5.206061,1.175122,1.134828,0.548226,0.000000,0.065556
0.020000,2.992597,5.207603,1.197929,1.145792,0.548226,-0.000000,0.069835
0.020000,3.015563,5.209260,1.220954,1.156757,0.548226,0.000000,0.074279
0.020000,3.038739,5.211039,1.244199,1.167721,0.548226,0.000000,0.078891
0.020000,3.062126,5.212944,1.267663,1.178686,0.548226,0.000000,0.083675
0.020000,3.085721,5.214981,1.291346,1.189650,0.548226,0.000000,0.088635
0.020000,3.109525,5.217158,1.315249,1.200615,0.548226,0.000000,0.093776
0.020000,3.133534,5.219480,1.339371,1.211579,0.548226,-0.000000,0.099101
0.020000,3.157750,5.221955,1.363712,1.222544,0.548226,0.000000,0.104613
0.020000,3.182168,5.224589,1.388273,1.233508,0.548226,0.000000,0.110318
0.020000,3.206789,5.227390,1.413052,1.244473,0.548226,0.000000,0.116219
0.020000,3.231611,5.230364,1.438052,1.255438,0.548226,0.000000,0.122320
0.020000,3.256631,5.233519,1.463270,1.266402,0.548226,0.000000,0.128624
