dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.825573,3.332665,0.000014,0.001410,0.070511,3.525543,3.106500
0.020000,14.825569,3.332665,0.000018,0.000190,-0.060993,-6.575200,3.106511
0.020000,14.825561,3.332666,0.000026,0.000428,0.011896,3.644451,3.106535
0.020000,14.825546,3.332666,0.000042,0.000761,0.016651,0.237740,3.106578
0.020000,14.825522,3.332667,0.000065,0.001189,0.021400,0.237468,3.106645
0.020000,14.825488,3.332668,0.000100,0.001712,0.026140,0.237021,3.106741
0.020000,14.825441,3.332670,0.000146,0.002329,0.030868,0.236358,3.106872
0.020000,14.824905,3.332688,0.000683,0.026842,1.225604,59.736799,3.107043
0.020000,14.823686,3.332730,0.001902,0.060960,1.705936,24.016609,3.107260
0.020000,14.822182,3.332782,0.003407,0.075255,0.714760,-49.558808,3.107527
0.020000,14.820362,3.332844,0.005229,0.091053,0.789880,3.756032,3.107849
0.020000,14.818196,3.332916,0.007396,0.108354,0.865025,3.757244,3.108233
0.020000,14.815654,3.333001,0.009939,0.127153,0.939990,3.748233,3.108682
0.020000,14.812707,3.333097,0.012888,0.147452,1.014948,3.747912,3.109203
0.020000,14.809339,3.333205,0.016258,0.168498,1.052279,1.866560,3.109796
0.020000,14.805550,3.333324,0.020048,0.189534,1.051812,-0.023367,3.110463
0.020000,14.801341,3.333454,0.024260,0.210562,1.051399,-0.020642,3.111202
0.020000,14.796711,3.333593,0.028891,0.231579,1.050868,-0.026540,3.112012
0.020000,14.791661,3.333740,0.033943,0.252586,1.050342,-0.026310,3.112894
0.020000,14.786192,3.333894,0.039415,0.273581,1.049740,-0.030082,3.113846
0.020000,14.780303,3.334055,0.045306,0.294562,1.049064,-0.033802,3.114867
0.020000,14.773995,3.334220,0.051616,0.315529,1.048342,-0.036110,3.115958
0.020000,14.767267,3.334388,0.058346,0.336482,1.047632,-0.035489,3.117116
0.020000,14.760121,3.334559,0.065494,0.357417,1.046777,-0.042764,3.118342
0.020000,14.752556,3.334730,0.073061,0.378336,1.045907,-0.043513,3.119634
0.020000,14.744573,3.334900,0.081046,0.399235,1.044987,-0.045979,3.120991
