dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.774820,3.769500,0.000015,0.001454,0.072706,3.635310,6.282679
0.020000,1.774823,3.769500,0.000018,0.000162,-0.064608,-6.865706,6.282688
0.020000,1.774831,3.769500,0.000025,0.000364,0.010122,3.736487,6.282709
0.020000,1.774844,3.769500,0.000038,0.000648,0.014168,0.202295,6.282745
0.020000,1.774864,3.769500,0.000058,0.001012,0.018209,0.202078,6.282802
0.020000,1.774892,3.769500,0.000087,0.001416,0.020221,0.100569,6.282882
0.020000,1.774929,3.769500,0.000123,0.001820,0.020202,-0.000908,6.282984
0.020000,1.774973,3.769500,0.000167,0.002224,0.020179,-0.001168,6.283109
0.020000,1.775485,3.769500,0.000680,0.025606,1.169089,57.445471,0.000072
0.020000,1.776636,3.769500,0.001831,0.057559,1.597687,21.429903,0.000242
0.020000,1.777941,3.769501,0.003135,0.065231,0.383564,-60.706107,0.000435
0.020000,1.779399,3.769501,0.004593,0.072903,0.383607,0.002116,0.000651
0.020000,1.781010,3.769503,0.006205,0.080573,0.383502,-0.005222,0.000889
0.020000,1.782775,3.769504,0.007970,0.088242,0.383472,-0.001541,0.001149
0.020000,1.784693,3.769507,0.009888,0.095910,0.383397,-0.003735,0.001432
0.020000,1.786765,3.769510,0.011960,0.103578,0.383373,-0.001212,0.001737
0.020000,1.788990,3.769514,0.014184,0.111242,0.383226,-0.007311,0.002065
0.020000,1.791368,3.769520,0.016563,0.118907,0.383250,0.001202,0.002414
0.020000,1.793899,3.769526,0.019094,0.126570,0.383118,-0.006633,0.002786
0.020000,1.796584,3.769534,0.021779,0.134230,0.383017,-0.005020,0.003179
0.020000,1.799422,3.769544,0.024616,0.141889,0.382938,-0.003947,0.003595
0.020000,1.802413,3.769555,0.027607,0.149546,0.382852,-0.004308,0.004032
0.020000,1.805557,3.769569,0.030751,0.157202,0.382786,-0.003332,0.004490
0.020000,1.808854,3.769584,0.034048,0.164854,0.382640,-0.007266,0.004971
0.020000,1.812304,3.769602,0.037498,0.172505,0.382532,-0.005434,0.005472
0.020000,1.815907,3.769623,0.041101,0.180153,0.382416,-0.005803,0.005995
0.020000,1.819663,3.769647,0.044857,0.187799,0.382304,-0.005552,0.006539
0.020000,1.823571,3.769673,0.048766,0.195443,0.382196,-0.005418,0.007104
0.020000,1.827633,3.769703,0.052828,0.203084,0.382038,-0.007922,0.007690
0.020000,1.831847,3.769737,0.057042,0.210722,0.381892,-0.007262,0.008296
0.020000,1.836214,3.769775,0.061410,0.218357,0.381740,-0.007613,0.008923
0.020000,1.840734,3.769816,0.065929,0.225990,0.381643,-0.004855,0.009571
0.020000,1.845406,3.769863,0.070602,0.233619,0.381467,-0.008785,0.010238
0.020000,1.850231,3.769914,0.075427,0.241244,0.381254,-0.010666,0.010926
0.020000,1.855208,3.769970,0.080404,0.248868,0.381206,-0.002419,0.011633
0.020000,1.860337,3.770031,0.085534,0.256486,0.380907,-0.014935,0.012360
0.020000,1.865619,3.770099,0.090816,0.264103,0.380848,-0.002973,0.013106
0.020000,1.871052,3.770172,0.096250,0.271714,0.380557,-0.014546,0.013872
0.020000,1.876638,3.770252,0.101837,0.279324,0.380474,-0.004127,0.014656
0.020000,1.882376,3.770338,0.107575,0.286928,0.380216,-0.012917,0.015460
0.020000,1.888266,3.770432,0.113466,0.294528,0.380012,-0.010175,0.016282
0.020000,1.894308,3.770532,0.119508,0.302125,0.379853,-0.007941,0.017122
0.020000,1.900501,3.770641,0.125703,0.309718,0.379637,-0.010840,0.017980
0.020000,1.906846,3.770758,0.132049,0.317306,0.379399,-0.011880,0.018857
0.020000,1.913343,3.770883,0.138546,0.324890,0.379184,-0.010739,0.019750
0.020000,1.919991,3.771018,0.145196,0.332469,0.378962,-0.011120,0.020662
0.020000,1.926790,3.771161,0.151997,0.340044,0.378732,-0.011494,0.021590
0.020000,1.933741,3.771315,0.158949,0.347614,0.378495,-0.011862,0.022535
0.020000,1.940842,3.771478,0.166053,0.355179,0.378250,-0.012224,0.023497
0.020000,1.948095,3.771652,0.173307,0.362739,0.377999,-0.012579,0.024475
0.020000,1.955499,3.771837,0.180713,0.370293,0.377740,-0.012928,0.025469
0.020000,1.963053,3.772034,0.188270,0.377843,0.377487,-0.012637,0.026479
0.020000,1.970758,3.772242,0.195978,0.385388,0.377248,-0.011945,0.027504
0.020000,1.978613,3.772462,0.203836,0.392927,0.376931,-0.015861,0.028544
0.020000,1.986619,3.772695,0.211846,0.400460,0.376645,-0.014288,0.029599
0.020000,1.994775,3.772940,0.220005,0.407988,0.376433,-0.010624,0.030668
0.020000,2.003081,3.773200,0.228316,0.415510,0.376064,-0.018466,0.031752
0.020000,2.011538,3.773473,0.236776,0.423026,0.375818,-0.012262,0.032849
0.020000,2.020143,3.773761,0.245387,0.430536,0.375483,-0.016765,0.033960
0.020000,2.028899,3.774063,0.254148,0.438040,0.375213,-0.013526,0.035084
0.020000,2.037804,3.774381,0.263058,0.445537,0.374851,-0.018106,0.036221
0.020000,2.046859,3.774714,0.272119,0.453029,0.374589,-0.013052,0.037370
0.020000,2.056062,3.775063,0.281329,0.460513,0.374226,-0.018162,0.038532
0.020000,2.065415,3.775429,0.290689,0.467991,0.373892,-0.016689,0.039704
