dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.775180,4.480500,0.000015,0.001454,0.072706,3.635310,6.282679
0.020000,1.775177,4.480500,0.000018,0.000162,-0.064608,-6.865706,6.282688
0.020000,1.775169,4.480500,0.000025,0.000364,0.010122,3.736487,6.282709
0.020000,1.775156,4.480500,0.000038,0.000648,0.014168,0.202295,6.282745
0.020000,1.775136,4.480500,0.000058,0.001012,0.018209,0.202078,6.282802
0.020000,1.775108,4.480500,0.000087,0.001416,0.020221,0.100569,6.282882
0.020000,1.775071,4.480500,0.000123,0.001820,0.020202,-0.000908,6.282984
0.020000,1.775027,4.480500,0.000167,0.002224,0.020179,-0.001168,6.283109
0.020000,1.775434,4.480500,0.000575,0.020352,0.906386,44.310354,0.000072
0.020000,1.776464,4.480500,0.001605,0.051501,1.557449,32.553151,0.000242
0.020000,1.777631,4.480501,0.002772,0.058369,0.343408,-60.702064,0.000435
0.020000,1.778936,4.480501,0.004077,0.065239,0.343528,0.005986,0.000651
0.020000,1.780378,4.480502,0.005519,0.072110,0.343526,-0.000096,0.000889
0.020000,1.781958,4.480504,0.007099,0.078982,0.343599,0.003683,0.001149
0.020000,1.783675,4.480506,0.008816,0.085855,0.343644,0.002206,0.001432
0.020000,1.785530,4.480509,0.010670,0.092730,0.343743,0.004951,0.001737
0.020000,1.787522,4.480513,0.012662,0.099604,0.343742,-0.000021,0.002065
0.020000,1.789651,4.480518,0.014792,0.106483,0.343904,0.008091,0.002414
0.020000,1.791919,4.480524,0.017059,0.113361,0.343935,0.001566,0.002786
0.020000,1.794323,4.480531,0.019464,0.120241,0.344005,0.003502,0.003179
0.020000,1.796866,4.480539,0.022006,0.127123,0.344104,0.004956,0.003595
0.020000,1.799546,4.480550,0.024687,0.134008,0.344207,0.005128,0.004032
0.020000,1.802364,4.480562,0.027505,0.140894,0.344337,0.006500,0.004490
0.020000,1.805320,4.480576,0.030460,0.147782,0.344406,0.003472,0.004971
0.020000,1.808413,4.480592,0.033554,0.154673,0.344519,0.005613,0.005472
0.020000,1.811644,4.480610,0.036785,0.161566,0.344634,0.005784,0.005995
0.020000,1.815013,4.480631,0.040154,0.168461,0.344765,0.006513,0.006539
0.020000,1.818520,4.480655,0.043661,0.175359,0.344907,0.007139,0.007104
0.020000,1.822166,4.480682,0.047307,0.182259,0.345015,0.005400,0.007690
0.020000,1.825949,4.480713,0.051090,0.189162,0.345145,0.006500,0.008296
0.020000,1.829870,4.480746,0.055011,0.196068,0.345279,0.006696,0.008923
0.020000,1.833929,4.480784,0.059071,0.202977,0.345473,0.009686,0.009571
0.020000,1.838127,4.480825,0.063268,0.209889,0.345606,0.006672,0.010238
0.020000,1.842463,4.480871,0.067605,0.216804,0.345716,0.005498,0.010926
0.020000,1.846937,4.480922,0.072079,0.223723,0.345985,0.013429,0.011633
0.020000,1.851549,4.480977,0.076692,0.230644,0.346039,0.002701,0.012360
0.020000,1.856300,4.481038,0.081443,0.237571,0.346319,0.013978,0.013106
0.020000,1.861190,4.481104,0.086333,0.244499,0.346401,0.004096,0.013872
0.020000,1.866218,4.481175,0.091362,0.251432,0.346680,0.013997,0.014656
0.020000,1.871385,4.481253,0.096529,0.258368,0.346813,0.006617,0.015460
0.020000,1.876690,4.481337,0.101835,0.265309,0.347005,0.009615,0.016282
0.020000,1.882135,4.481428,0.107281,0.272253,0.347248,0.012162,0.017122
0.020000,1.887718,4.481526,0.112865,0.279202,0.347450,0.010088,0.017980
0.020000,1.893440,4.481632,0.118588,0.286155,0.347644,0.009687,0.018857
0.020000,1.899301,4.481745,0.124450,0.293113,0.347869,0.011255,0.019750
0.020000,1.905301,4.481866,0.130451,0.300075,0.348098,0.011454,0.020662
0.020000,1.911441,4.481996,0.136592,0.307041,0.348331,0.011660,0.021590
0.020000,1.917720,4.482134,0.142872,0.314013,0.348569,0.011874,0.022535
0.020000,1.924138,4.482282,0.149292,0.320989,0.348811,0.012095,0.023497
0.020000,1.930695,4.482439,0.155852,0.327970,0.349057,0.012323,0.024475
0.020000,1.937392,4.482607,0.162551,0.334956,0.349308,0.012558,0.025469
0.020000,1.944229,4.482784,0.169390,0.341948,0.349576,0.013374,0.026479
0.020000,1.951205,4.482973,0.176369,0.348945,0.349867,0.014556,0.027504
0.020000,1.958321,4.483172,0.183488,0.355947,0.350098,0.011565,0.028544
0.020000,1.965577,4.483383,0.190747,0.362954,0.350369,0.013545,0.029599
0.020000,1.972973,4.483606,0.198146,0.369969,0.350718,0.017426,0.030668
0.020000,1.980510,4.483841,0.205686,0.376987,0.350935,0.010876,0.031752
0.020000,1.988186,4.484089,0.213366,0.384013,0.351276,0.017063,0.032849
0.020000,1.996002,4.484351,0.221187,0.391044,0.351547,0.013539,0.033960
0.020000,2.003959,4.484625,0.229149,0.398082,0.351888,0.017044,0.035084
0.020000,2.012057,4.484914,0.237251,0.405125,0.352157,0.013445,0.036221
0.020000,2.020294,4.485217,0.245495,0.412175,0.352529,0.018605,0.037370
